decisionGeneration;totalSimulationHours;animalType;animalId;fitness;hp;hunger;thirst;hungerWeight;thirstWeight;fearWeight;hideSeekingWeight;riskTolerance;explorationWeight;speed;maxStamina;currentStamina;sightRange;tempResist;hungerDecreasingSpeed;thirstDecreasingSpeed;breedingCooldownMultiplyer;fertility;swimAbility;eatNeed;fatSave;childrenCount;timeAliveInGeneration;timeSpentHiding;timesEnteredShelter;predatorEncounters;totalFoodForPrey;totalFoodForPredator
84;87,5528;Prey;0;101,2981;100,0000;0,5385;0,4514;0,0000;0,0000;0,0892;0,6779;0,0021;0,5266;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,9806;0,0000;0;0;329;26
85;88,5542;Prey;0;101,2517;100,0000;0,4859;0,4201;0,0000;0,0000;0,0892;0,6779;0,0021;0,5266;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,5169;0,0000;0;0;329;26
86;89,5543;Prey;33;308,5124;100,0000;0,6659;0,6658;0,5463;0,0000;0,0000;1,0000;0,0475;0,2132;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;7;12,5013;0,0000;0;0;329;28
87;90,5548;Prey;1;310,2103;100,0000;0,3883;0,3711;0,0000;0,0000;0,1570;0,5243;0,1329;0,9218;3,0090;2,4330;2,4330;10;2,6539;0,7125;0,9783;1,1245;7,0000;0,5632;0,4940;0,7924;7;12,5044;0,0000;0;0;329;35
88;91,5563;Prey;0;101,2518;100,0000;0,3249;0,3262;0,0000;0,0000;0,0892;0,6779;0,0021;0,5266;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,5184;0,0000;0;0;329;32
89;92,5717;Prey;0;101,2693;100,0000;0,9806;0,2944;0,0000;0,0000;0,0892;0,6779;0,0021;0,5266;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,6925;0,0000;0;0;328;31
90;93,5790;Prey;1;101,2591;100,0000;0,9949;0,2479;0,0000;0,0000;0,1570;0,5243;0,1329;0,9218;3,0090;2,4330;2,4330;10;2,6539;0,7125;0,9783;1,1245;7,0000;0,5632;0,4940;0,7924;0;12,5910;0,0000;0;0;327;31
91;94,6206;Prey;17;279,9993;100,0000;0,5003;0,4925;0,0000;0,0000;0,0000;0,5872;0,0000;0,5265;2,8835;1,4135;1,4135;7;1,8752;0,7750;0,8822;0,6529;6,0000;0,3808;0,3216;0,8489;6;13,0203;0,0000;0;0;326;37
92;95,6449;Prey;33;100,4640;100,0000;0,4063;0,4896;0,0000;0,0000;0,0081;0,1567;0,0479;0,4642;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,8035;0,0000;0;0;326;37
93;96,7189;Prey;33;100,7118;100,0000;0,3622;0,4585;0,0000;0,0000;0,0081;0,1567;0,0479;0,4642;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,4258;0,0000;0;0;336;37
94;97,7696;Prey;33;100,6268;100,0000;0,3221;0,4281;0,0000;0,0000;0,0081;0,1567;0,0479;0,4642;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,1328;0,0000;0;0;333;37
95;98,7735;Prey;33;100,5685;100,0000;0,2858;0,3990;0,0000;0,0000;0,0081;0,1567;0,0479;0,4642;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,5490;0,0000;0;0;333;37
