decisionGeneration;totalSimulationHours;animalType;animalId;fitness;hp;hunger;thirst;hungerWeight;thirstWeight;aggressionWeight;timeFollowingWeight;speed;maxStamina;currentStamina;sightRange;tempResist;hungerDecreasingSpeed;thirstDecreasingSpeed;breedingCooldownMultiplyer;fertility;swimAbility;eatNeed;fatSave;childrenCount;timeAliveInGeneration;successfulHunts;abandonedChases;timeSpentFollowing;totalFoodForPrey;totalFoodForPredator
107;111,4049;Predator;14;95,2729;100,0000;0,1849;0,5361;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;0,6248;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;12,6200;0;0;12,6200;319;33
108;112,5210;Predator;14;92,6424;100,0000;0,0798;0,5129;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;0,0000;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;13,9510;0;1;11,5660;319;38
109;113,5993;Predator;14;89,3154;96,6026;0,0000;0,4904;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;0,0000;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;13,4790;0;1;11,1305;318;38
110;114,6816;Predator;8;87,4127;87,7560;0,6275;0,5343;0,3036;0,0000;0,1388;0,8043;3,0840;1,9290;1,9290;9;2,6605;0,6349;0,8488;0,6334;2,0000;0,4934;0,4867;0,7140;0;13,5293;0;0;0,0000;317;37
111;115,7150;Predator;1;161,2454;67,8751;0,1101;0,9422;0,1384;0,0000;0,1625;0,7910;4,4737;1,4669;0,0000;6;0,7688;0,9910;0,7542;1,0717;3,0000;0,5967;0,3228;0,8535;3;12,9165;0;1;10,5544;317;36
112;116,7541;Predator;24;98,4993;100,0000;0,9522;0,9594;0,8646;0,0043;0,1287;0,7909;3,6472;1,4238;1,4238;7;0,2385;0,5733;0,8662;0,7840;2,5756;0,5867;0,4233;0,6705;0;12,9896;0;0;0,0000;316;33
113;117,7886;Predator;24;98,3589;100,0000;0,9091;0,9220;0,8646;0,0043;0,1287;0,7909;3,6472;1,4238;1,4238;7;0,2385;0,5733;0,8662;0,7840;2,5756;0,5867;0,4233;0,6705;0;12,9314;0;0;0,0000;315;33
114;118,8518;Predator;24;97,8078;100,0000;0,8641;0,8837;0,8646;0,0043;0,1287;0,7909;3,6472;1,4238;1,4238;7;0,2385;0,5733;0,8662;0,7840;2,5756;0,5867;0,4233;0,6705;0;13,2903;0;0;0,0000;314;33
115;119,9252;Predator;24;97,5374;100,0000;0,8207;0,8449;0,8646;0,0043;0,1287;0,7909;3,6472;1,4238;1,4238;7;0,2385;0,5733;0,8662;0,7840;2,5756;0,5867;0,4233;0,6705;0;13,4164;0;0;0,0000;311;32
116;121,0009;Predator;24;96,7488;100,0000;0,7760;0,8061;0,8646;0,0043;0,1287;0,7909;3,6472;1,4238;1,4238;7;0,2385;0,5733;0,8662;0,7840;2,5756;0,5867;0,4233;0,6705;0;13,4475;0;0;0,0000;352;31
117;122,0219;Predator;24;95,8226;100,0000;0,7262;0,7692;0,8646;0,0043;0,1287;0,7909;3,6472;1,4238;1,4238;7;0,2385;0,5733;0,8662;0,7840;2,5756;0,5867;0,4233;0,6705;0;12,7613;0;0;0,0000;351;30
118;123,0898;Predator;24;95,7207;100,0000;0,6738;0,7307;0,8646;0,0043;0,1287;0,7909;3,6472;1,4238;1,4238;7;0,2385;0,5733;0,8662;0,7840;2,5756;0,5867;0,4233;0,6705;0;13,3489;0;0;0,0000;350;30
